y weight width color spine
8 3.050 28.3 2 3
0 1.550 22.5 3 3
9 2.300 26.0 1 1
0 2.100 24.8 3 3
4 2.600 26.0 3 3
0 2.100 23.8 2 3
0 2.350 26.5 1 1
0 1.900 24.7 3 2
0 1.950 23.7 2 1
0 2.150 25.6 3 3
0 2.150 24.3 3 3
0 2.650 25.8 2 3
11 3.050 28.2 2	3
0 1.850 21.0 4 2
14 2.300 26.0 2 1
8 2.950 27.1 1 1
1 2.000 25.2 2 3
1 3.000 29.0 2 3
0 2.200 24.7 4 3
5 2.700 27.4 2 3
4 1.950 23.2 2 2
3 2.300 25.0 1 2
1 1.600 22.5 2 1
2 2.600 26.7 3 3
3 2.000 25.8 4 3
0 1.300 26.2 4 3
3 3.150 28.7 2 3
5 2.700 26.8 2 1
0 2.600 27.5 4 3
0 2.100 24.9 2 3
4 3.200 29.3 1 1
0 2.600 25.8 1 3
0 2.000 25.7 2 2
8 2.000 25.7 2 1
5 2.700 26.7 2 1
0 1.850 23.7 4 3
0 2.650 26.8 2 3
6 3.150 27.5 2 3
0 1.900 23.4 4 3
6 2.800 27.9 2 3
3 3.100 27.5 3 3
5 2.800 26.1 1 1
6 2.500 27.7 1 1
5 3.300 30.0 2 1
9 3.250 28.5 3 1
4 2.800 28.9 3 3
6 2.600 28.2 2 3
4 2.100 25.0 2 3
3 3.000 28.5 2 3
3 3.600 30.3 2 1
5 2.100 24.7 4 3
5 2.900 27.7 2 3
6 2.700 27.4 1 1
4 1.600 22.9 2 3
5 2.000 25.7 2 1
15 3.000 28.3 2 3
3 2.700 27.2 2 3
3 2.300 26.2 3 3
0 2.750 27.8 2 1
0 2.250 25.5 4 3
0 2.550 27.1 3 3
5 2.050 24.5 3 3
3 2.450 27.0 3 1
5 2.150 26.0 2 3
1 2.800 28.0 2 3
8 3.050 30.0 2 3
10 3.200 29.0 2 3
0 2.400 26.2 2 3
0 1.300 26.5 2 1
3 2.400 26.2 2 3
7 2.800 25.6 3 3
1 1.650 23.0 3 3
0 1.800 23.0 3 3
6 2.250 25.4 2 3
0 1.900 24.2 3 3
0 1.600 22.9 2 2
3 2.200 26.0 3 2
4 2.250 25.4 2 3
0 1.200 25.7 3 3
5 2.100 25.1 2 3
0 2.250 24.5 3 2
0 2.900 27.5 4 3
0 1.650 23.1 3 3
4 2.550 25.9 3 1
0 2.300 25.8 2 3
3 2.250 27.0 4 3
0 3.050 28.5 2 3
0 2.750 25.5 4 1
0 1.900 23.5 4 3
0 1.700 24.0 2 2
5 3.850 29.7 2 1
0 2.550 26.8 2 1
0 2.450 26.7 4 3
0 3.200 28.7 2 1
0 1.550 23.1 3 3
1 2.800 29.0 2 1
0 2.250 25.5 3 3
1 1.967 26.5 3 3
1 2.200 24.5 3 3
1 3.000 28.5 3 3
1 2.867 28.2 2 3
1 1.600 24.5 2 3
1 2.550 27.5 2 3
4 2.550 24.7 2 2
1 2.000 25.2 2 1
1 2.900 27.3 3 3
1 2.400 26.3 2 3
1 3.100 29.0 2 3
2 1.900 25.3 2 3
4 2.300 26.5 2 3
3 3.250 27.8 2 3
6 2.500 27.0 2 3
0 2.100 25.7 3 3
2 2.100 25.0 2 3
2 3.325 31.9 2 3
0 1.800 23.7 4 3
12 3.225 29.3 4 3
0 1.400 22.0 3 3
5 2.400 25.0 2 3
6 2.500 27.0 3 3
6 1.800 23.8 3 3
2 3.275 30.2 1 1
0 2.225 26.2 3 3
2 1.650 24.2 2 3
3 2.900 27.4 2 3
0 2.300 25.4 2 2
3 3.200 28.4 3 3
4 1.475 22.5 4 3
2 2.025 26.2 2 3
6 2.300 24.9 2 1
6 1.950 24.5 1 2
0 1.800 25.1 2 3
4 2.900 28.0 2 1
10 2.250 25.8 4 3
7 3.050 27.9 2 3
0 2.200 24.9 2 3
5 3.100 28.4 2 1
5 2.400 27.2 3 3
6 2.250 25.0 2 2
6 2.625 27.5 2 3
7 5.200 33.5 2 1
3 3.325 30.5 2 3
3 2.925 29.0 3 3
0 2.000 24.3 2 1
0 2.400 25.8 2 3
8 2.100 25.0 4 3
4 3.725 31.7 2 1
4 3.025 29.5 2 3
10 1.900 24.0 3 3
9 3.000 30.0 2 3
4 2.850 27.6 2 3
0 2.300 26.2 2 3
0 2.000 23.1 2 1
0 1.600 22.9 2 1
0 1.900 24.5 4 3
4 1.950 24.7 2 3
0 3.200 28.3 2 3
2 1.850 23.9 2 3
0 1.800 23.8 3 3
4 3.500 29.8 3 2
4 2.350 26.5 2 3
3 2.275 26.0 2 3
8 3.050 28.2 2 3
0 2.150 25.7 4 3
7 2.750 26.5 2 3
0 2.200 25.8 2 3
0 1.800 24.1 3 3
2 2.175 26.2 3 3
3 2.750 26.1 3 3
4 3.275 29.0 3 3
0 2.625 28.0 1 1
0 2.625 27.0 4 3
0 2.000 24.5 2 2
