"","num_awards","math","programa"
"1",0,41,"Vocacional"
"2",0,41,"General   "
"3",0,44,"Vocacional"
"4",0,42,"Vocacional"
"5",0,40,"Vocacional"
"6",0,42,"General   "
"7",0,46,"Vocacional"
"8",0,40,"Vocacional"
"9",0,33,"Vocacional"
"10",0,46,"Vocacional"
"11",0,40,"Vocacional"
"12",0,38,"Academico "
"13",0,44,"Vocacional"
"14",0,37,"Vocacional"
"15",0,40,"Vocacional"
"16",0,39,"General   "
"17",0,43,"General   "
"18",0,38,"Vocacional"
"19",0,45,"Academico "
"20",0,39,"Vocacional"
"21",0,42,"General   "
"22",0,45,"Vocacional"
"23",0,40,"Vocacional"
"24",0,40,"Vocacional"
"25",0,43,"Academico "
"26",0,49,"Academico "
"27",1,44,"General   "
"28",1,46,"General   "
"29",0,46,"Academico "
"30",1,41,"Academico "
"31",0,42,"General   "
"32",0,47,"Vocacional"
"33",1,43,"Academico "
"34",0,49,"Academico "
"35",1,40,"Vocacional"
"36",1,39,"Vocacional"
"37",0,49,"Vocacional"
"38",0,42,"Academico "
"39",0,43,"General   "
"40",0,41,"Academico "
"41",0,57,"General   "
"42",0,50,"Academico "
"43",0,44,"Academico "
"44",0,39,"Vocacional"
"45",0,52,"Academico "
"46",1,41,"Vocacional"
"47",0,39,"Vocacional"
"48",0,39,"General   "
"49",0,52,"Vocacional"
"50",1,48,"Academico "
"51",0,45,"Academico "
"52",0,40,"Vocacional"
"53",0,46,"General   "
"54",3,50,"Academico "
"55",0,43,"Academico "
"56",0,43,"General   "
"57",1,54,"Academico "
"58",1,42,"General   "
"59",0,45,"Vocacional"
"60",0,54,"General   "
"61",0,47,"Vocacional"
"62",1,45,"Academico "
"63",0,43,"Academico "
"64",1,40,"Vocacional"
"65",0,52,"Vocacional"
"66",1,52,"Vocacional"
"67",0,45,"General   "
"68",0,49,"Academico "
"69",1,53,"Academico "
"70",0,54,"General   "
"71",2,50,"Academico "
"72",0,48,"Academico "
"73",0,51,"Academico "
"74",0,41,"General   "
"75",1,51,"Vocacional"
"76",0,46,"General   "
"77",0,55,"Vocacional"
"78",0,46,"General   "
"79",0,61,"General   "
"80",0,45,"Academico "
"81",0,54,"Vocacional"
"82",0,54,"Academico "
"83",1,51,"Academico "
"84",0,49,"General   "
"85",0,56,"Vocacional"
"86",0,53,"Academico "
"87",1,49,"General   "
"88",0,57,"General   "
"89",0,42,"General   "
"90",0,46,"Vocacional"
"91",0,45,"Vocacional"
"92",0,55,"General   "
"93",0,47,"Vocacional"
"94",0,50,"Academico "
"95",0,41,"Vocacional"
"96",0,52,"General   "
"97",1,57,"Academico "
"98",0,53,"Vocacional"
"99",1,51,"Vocacional"
"100",0,57,"General   "
"101",0,51,"Academico "
"102",0,40,"Vocacional"
"103",0,50,"Vocacional"
"104",0,57,"Vocacional"
"105",0,35,"General   "
"106",0,49,"Academico "
"107",0,50,"General   "
"108",1,55,"General   "
"109",0,48,"Academico "
"110",0,52,"Academico "
"111",1,53,"Academico "
"112",1,59,"Academico "
"113",2,66,"Academico "
"114",0,57,"Academico "
"115",1,54,"Academico "
"116",0,57,"Vocacional"
"117",1,54,"Academico "
"118",0,54,"Academico "
"119",0,54,"Academico "
"120",2,49,"Academico "
"121",1,51,"Vocacional"
"122",3,58,"Academico "
"123",1,60,"Academico "
"124",0,51,"Academico "
"125",0,63,"Academico "
"126",1,50,"Academico "
"127",1,53,"Academico "
"128",0,53,"Academico "
"129",0,55,"Academico "
"130",1,56,"Academico "
"131",0,49,"Academico "
"132",1,61,"Academico "
"133",0,49,"General   "
"134",0,57,"Academico "
"135",0,66,"Academico "
"136",0,56,"General   "
"137",3,60,"Academico "
"138",1,57,"Academico "
"139",0,59,"Academico "
"140",0,58,"Academico "
"141",0,57,"Academico "
"142",3,64,"Academico "
"143",0,60,"General   "
"144",0,54,"General   "
"145",1,61,"Academico "
"146",1,58,"General   "
"147",0,56,"General   "
"148",0,60,"General   "
"149",0,55,"Academico "
"150",3,57,"Academico "
"151",0,62,"Academico "
"152",0,56,"Academico "
"153",0,51,"Academico "
"154",2,56,"Vocacional"
"155",0,61,"General   "
"156",1,63,"Academico "
"157",5,61,"Academico "
"158",0,67,"Academico "
"159",0,48,"Academico "
"160",1,61,"Academico "
"161",0,57,"General   "
"162",0,48,"General   "
"163",2,65,"Academico "
"164",4,62,"Academico "
"165",1,61,"Academico "
"166",0,53,"Vocacional"
"167",1,58,"General   "
"168",1,64,"Academico "
"169",3,65,"Academico "
"170",1,56,"General   "
"171",1,63,"General   "
"172",3,57,"Academico "
"173",2,72,"Academico "
"174",0,66,"Vocacional"
"175",0,62,"Academico "
"176",1,58,"Academico "
"177",1,63,"Academico "
"178",3,64,"Academico "
"179",2,72,"Academico "
"180",0,64,"Academico "
"181",6,69,"Academico "
"182",4,70,"Academico "
"183",1,66,"Academico "
"184",0,58,"General   "
"185",2,62,"Academico "
"186",2,67,"Academico "
"187",1,64,"Academico "
"188",2,63,"Academico "
"189",1,68,"Academico "
"190",1,75,"Academico "
"191",0,69,"Academico "
"192",1,65,"Academico "
"193",2,71,"Academico "
"194",5,71,"Academico "
"195",1,60,"Academico "
"196",2,71,"Academico "
"197",2,75,"Vocacional"
"198",1,71,"Academico "
"199",0,72,"Academico "
"200",3,73,"Academico "
