num_awards math programa
0 41 Vocacional
0 41 General   
0 44 Vocacional
0 42 Vocacional
0 40 Vocacional
0 42 General   
0 46 Vocacional
0 40 Vocacional
0 33 Vocacional
0 46 Vocacional
0 40 Vocacional
0 38 Academico 
0 44 Vocacional
0 37 Vocacional
0 40 Vocacional
0 39 General   
0 43 General   
0 38 Vocacional
0 45 Academico 
0 39 Vocacional
0 42 General   
0 45 Vocacional
0 40 Vocacional
0 40 Vocacional
0 43 Academico 
0 49 Academico 
1 44 General   
1 46 General   
0 46 Academico 
1 41 Academico 
0 42 General   
0 47 Vocacional
1 43 Academico 
0 49 Academico 
1 40 Vocacional
1 39 Vocacional
0 49 Vocacional
0 42 Academico 
0 43 General   
0 41 Academico 
0 57 General   
0 50 Academico 
0 44 Academico 
0 39 Vocacional
0 52 Academico 
1 41 Vocacional
0 39 Vocacional
0 39 General   
0 52 Vocacional
1 48 Academico 
0 45 Academico 
0 40 Vocacional
0 46 General   
3 50 Academico 
0 43 Academico 
0 43 General   
1 54 Academico 
1 42 General   
0 45 Vocacional
0 54 General   
0 47 Vocacional
1 45 Academico 
0 43 Academico 
1 40 Vocacional
0 52 Vocacional
1 52 Vocacional
0 45 General   
0 49 Academico 
1 53 Academico 
0 54 General   
2 50 Academico 
0 48 Academico 
0 51 Academico 
0 41 General   
1 51 Vocacional
0 46 General   
0 55 Vocacional
0 46 General   
0 61 General   
0 45 Academico 
0 54 Vocacional
0 54 Academico 
1 51 Academico 
0 49 General   
0 56 Vocacional
0 53 Academico 
1 49 General   
0 57 General   
0 42 General   
0 46 Vocacional
0 45 Vocacional
0 55 General   
0 47 Vocacional
0 50 Academico 
0 41 Vocacional
0 52 General   
1 57 Academico 
0 53 Vocacional
1 51 Vocacional
0 57 General   
0 51 Academico 
0 40 Vocacional
0 50 Vocacional
0 57 Vocacional
0 35 General   
0 49 Academico 
0 50 General   
1 55 General   
0 48 Academico 
0 52 Academico 
1 53 Academico 
1 59 Academico 
2 66 Academico 
0 57 Academico 
1 54 Academico 
0 57 Vocacional
1 54 Academico 
0 54 Academico 
0 54 Academico 
2 49 Academico 
1 51 Vocacional
3 58 Academico 
1 60 Academico 
0 51 Academico 
0 63 Academico 
1 50 Academico 
1 53 Academico 
0 53 Academico 
0 55 Academico 
1 56 Academico 
0 49 Academico 
1 61 Academico 
0 49 General   
0 57 Academico 
0 66 Academico 
0 56 General   
3 60 Academico 
1 57 Academico 
0 59 Academico 
0 58 Academico 
0 57 Academico 
3 64 Academico 
0 60 General   
0 54 General   
1 61 Academico 
1 58 General   
0 56 General   
0 60 General   
0 55 Academico 
3 57 Academico 
0 62 Academico 
0 56 Academico 
0 51 Academico 
2 56 Vocacional
0 61 General   
1 63 Academico 
5 61 Academico 
0 67 Academico 
0 48 Academico 
1 61 Academico 
0 57 General   
0 48 General   
2 65 Academico 
4 62 Academico 
1 61 Academico 
0 53 Vocacional
1 58 General   
1 64 Academico 
3 65 Academico 
1 56 General   
1 63 General   
3 57 Academico 
2 72 Academico 
0 66 Vocacional
0 62 Academico 
1 58 Academico 
1 63 Academico 
3 64 Academico 
2 72 Academico 
0 64 Academico 
6 69 Academico 
4 70 Academico 
1 66 Academico 
0 58 General   
2 62 Academico 
2 67 Academico 
1 64 Academico 
2 63 Academico 
1 68 Academico 
1 75 Academico 
0 69 Academico 
1 65 Academico 
2 71 Academico 
5 71 Academico 
1 60 Academico 
2 71 Academico 
2 75 Vocacional
1 71 Academico 
0 72 Academico 
3 73 Academico 
